BusinessSector,BusinessFunction,MeasuringElt,Rating,SUbCategory,AsIsQuestions,ToBeQuestions,MAXIMUM RATING
ENERGY,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Collection,,,5
ENERGY,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Storage,,,5
ENERGY,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Management,,,5
ENERGY,"IT, Research and Development,HR, Finance, Logistics, operations",Data Utilization and Analytics,90,Data Visualization,,,5
ENERGY,"IT, Research and Development,HR, Finance, Logistics, operations",Automation and Robotics,80,Alerts,,,5
ENERGY,"operations, IT, Research and Development,HR, Finance, ",Automation and Robotics,80,Alarms,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Maintenance,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Inspection,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,SCADA systems,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Drilling ,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Remotely Operated Vehicles,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Stability risk analysis,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Solar Panel Cleaning:,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Fault Detection,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Digital device in slope geometry,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Load Balancing,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Leak Detection,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Value Chain Visualisation,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Robotic Inspection,,,5
ENERGY,"operations,Power Generation",Automation and Robotics,80,Energy Storage,,,5
ENERGY,Customer Service,Chatbots,70,customer inquiries,,,5
ENERGY,Customer Service,Billing,70,billing and payment processing,,,5
ENERGY,Customer Service,Virtual Assistants,70,customer interactions,,,5
ENERGY,Customer Service,Sentiment Analysis,70,customer feedback,,,5
ENERGY,Customer Service,Knowledge Base Management,70,manage and update customer,,,5
ENERGY,Customer Service, Feedback Analysis,70, customer feedback,,,5
ENERGY,Customer Service,Predictive Support,70,historical data,,,5
ENERGY,Customer Service,Service Ticketing,70,Decision making,,,5
ENERGY,Customer Service,Live Chat Support,70,real-time customer interaction,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Predictive Maintenance,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Asset Optimization,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Power Plant Simulation,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Grid Simulation,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Building Energy Management,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Demand Response Optimization,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Wind and Solar Farm Modeling,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Energy Storage Optimization,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Fault Detection and Isolation,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Emissions Monitoring and Mitigation,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Disaster Response Planning,,,5
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Compliance Modeling,,,5
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Wireless network,,,5
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Satelite communication,,,5
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Fibre optics,,,5
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,50,Sensitive data,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Infrastructure,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Operational systems,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Data privacy,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Intrusion Detection and Prevention,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Data Encryption and Secure Communication,,,5
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,40,Access Control and Authentication,,,5
