Business_Sector,Business_Function,Business_Process,Business_Activity,Business_Resource
MINING,"Exploration and Geology, Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Collection,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Storage,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Management,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Analysis,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Use of ML,
MINING,Mining Operations,Automation and Robotics,Automation of the drilling production process,
MINING,Mining Operations,Automation and Robotics,"Utilization of advanced production technologies e.g., additive manufacturing",
MINING,Mining Operations,Automation and Robotics,Automation of the blasting production process,
MINING,Mining Operations,Automation and Robotics,Automation of the loading production process,
MINING,Mining Operations,Automation and Robotics,Use of digital device for seismicity measurement for geotechnical analysis,
MINING,Mining Operations,Automation and Robotics,Use of digital device and technology in ascertaining rock properties for geotechnical analysis,
MINING,Mining Operations,Automation and Robotics,Use of technology for the loading and hauling and hoisting fuel cost,
MINING,Mining Operations,Automation and Robotics,Stability risk analysis,
MINING,Mining Operations,Automation and Robotics,Continuous geotechnical monitoring,
MINING,Mining Operations,Automation and Robotics,Automating the type of mining method as per the rock quality,
MINING,Mining Operations,Automation and Robotics,Digital device in slope geometry,
MINING,Mining Operations,Automation and Robotics,Automation of the hauling production process,
MINING,Mining Operations,Automation and Robotics,Debottlenecking,
MINING,Mining Operations,Automation and Robotics,Value Chain Visualisation,
MINING,Mining Operations,Automation and Robotics,Pit to Port,
MINING,Mining Operations,Automation and Robotics,Automation of the hoisting production process,
MINING,Mining Operations,Internet of Things (IoT) Integration,Equipment performance,
MINING,Mining Operations,Internet of Things (IoT) Integration,Environmental conditions,
MINING,Mining Operations,Internet of Things (IoT) Integration,digital communication Utilization with stakeholders,
MINING,Mining Operations,Internet of Things (IoT) Integration,"Collect, update, and distribute project documents through digital platform",
MINING,Mining Operations,Internet of Things (IoT) Integration,"Computer-aided calculation, optimization, and simulation",
MINING,Mining Operations,Internet of Things (IoT) Integration,"Utilize IoT-solutions, advanced analytics, or artificial intelligence",
MINING,Mining Operations,Internet of Things (IoT) Integration,Digitally monitor problem issues and solving process,
MINING,Mining Operations,Internet of Things (IoT) Integration,Decision making,
MINING,Mining Operations,Internet of Things (IoT) Integration,Workflow optimization,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Predictive Maintenance,
